SOC_CODE,OCC_TITLE,A_MEAN
0,All Occupations,56310
110000,Management Occupations,126480
111000,Top Executives,129920
111010,Chief Executives,197840
111011,Chief Executives,197840
111020,General and Operations Managers,125740
111021,General and Operations Managers,125740
111030,Legislators,53560
111031,Legislators,53560
112000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",148740
112010,Advertising and Promotions Managers,147560
112011,Advertising and Promotions Managers,147560
112020,Marketing and Sales Managers,150400
112021,Marketing Managers,154470
112022,Sales Managers,147580
112030,Public Relations and Fundraising Managers,135580
112030,Public Relations and Fundraising Managers,135580
113000,Operations Specialties Managers,138590
113010,Administrative Services and Facilities Managers,108120
113010,Administrative Services and Facilities Managers,108120
113020,Computer and Information Systems Managers,161730
113021,Computer and Information Systems Managers,161730
113030,Financial Managers,151510
113031,Financial Managers,151510
113050,Industrial Production Managers,118190
113051,Industrial Production Managers,118190
113060,Purchasing Managers,132660
113061,Purchasing Managers,132660
113070,"Transportation, Storage, and Distribution Managers",105100
113071,"Transportation, Storage, and Distribution Managers",105100
113110,Compensation and Benefits Managers,137160
113111,Compensation and Benefits Managers,137160
113120,Human Resources Managers,134580
113121,Human Resources Managers,134580
113130,Training and Development Managers,125920
113131,Training and Development Managers,125920
119000,Other Management Occupations,106910
119010,"Farmers, Ranchers, and Other Agricultural Managers",76810
119013,"Farmers, Ranchers, and Other Agricultural Managers",76810
119020,Construction Managers,107260
119021,Construction Managers,107260
119030,Education and Childcare Administrators,101160
119031,"Education and Childcare Administrators, Preschool and Daycare",54940
119032,"Education Administrators, Kindergarten through Secondary",103010
119033,"Education Administrators, Postsecondary",115200
119039,"Education Administrators, All Other",93830
119040,Architectural and Engineering Managers,158100
119041,Architectural and Engineering Managers,158100
119050,Food Service Managers,61000
119051,Food Service Managers,61000
119071,Gambling Managers,85440
119080,Lodging Managers,65270
119081,Lodging Managers,65270
119110,Medical and Health Services Managers,118800
119111,Medical and Health Services Managers,118800
119120,Natural Sciences Managers,154930
119121,Natural Sciences Managers,154930
119130,Postmasters and Mail Superintendents,79660
119131,Postmasters and Mail Superintendents,79660
119140,"Property, Real Estate, and Community Association Managers",73210
119141,"Property, Real Estate, and Community Association Managers",73210
119150,Social and Community Service Managers,75140
119151,Social and Community Service Managers,75140
119160,Emergency Management Directors,84310
119161,Emergency Management Directors,84310
119171,Funeral Home Managers,91530
119198,"Personal Service Managers, All Other; Entertainment and Recreation Managers, Except Gambling; and Managers, All Other",123980
